event: I Congresso Brasileiro de ...
room: 602
hour: 2001-04-26 10:00:00 .. 2001-04-26 11:00:00
hour: 2001-04-27 10:00:00 .. 2001-04-27 11:00:00
hour: 2001-04-28 10:00:00 .. 2001-04-28 11:00:00
hour: 2001-04-29 10:00:00 .. 2001-04-29 11:00:00

event: II Congreso Argentino de ...
room: 602
hour: 2001-04-26 9:45:00 .. 2001-04-26 10:45:00
hour: 2001-04-29 9:45:00 .. 2001-04-29 10:45:00
hour: 2001-05-01 10:00:00 .. 2001-05-01 11:00:00
hour: 2001-05-02 10:00:00 .. 2001-05-02 11:00:00
hour: 2001-05-03 10:00:00 .. 2001-05-03 11:00:00

event: IV SBQEE
room: 602
hour: 2001-04-28 12:00:00 .. 2001-04-28 13:00:00
hour: 2001-04-29 12:00:00 .. 2001-04-29 13:00:00

event: III South American Congress ...
room: 601
hour: 2001-04-26 9:45:00 .. 2001-04-26 10:45:00
hour: 2001-04-29 9:45:00 .. 2001-04-29 10:45:00
hour: 2001-05-01 10:00:00 .. 2001-05-01 11:00:00
hour: 2001-05-02 10:00:00 .. 2001-05-02 11:00:00
hour: 2001-05-03 10:00:00 .. 2001-05-03 10:59:00

event: IV American Congress ...
room: 601
hour: 2001-04-26 9:45:00 .. 2001-04-26 10:45:00
hour: 2001-05-03 11:00:00 .. 2001-05-03 12:00:00
